smart,fortwo,9.45,微型,3门2座单厢,260L,1年2个月,1.30万公里,1.0L,4.4L,1.0L/双离合,后轮驱动,3门2座单厢,2695mm*1663mm*1555mm,2017年07月,北京,
哈弗,H6,7.63,紧凑型SUV,5门5座两厢,808L,3年,6.49万公里,1.5L,9.2L,1.5L/手自一体,前轮驱动,5门5座两厢,4649mm*1852mm*1710mm,2015年09月,河南 郑州,
奔驰,GLA级,21.76,紧凑型SUV,5门5座两厢,- -,1年4个月,1.72万公里,1.6L,6.4L,1.6L/双离合,前轮驱动,5门5座两厢,4431mm*1804mm*1532mm,2017年04月,河南 郑州,
本田,锋范,7.35,紧凑型,4门5座三厢,536L,2年3个月,4.21万公里,1.5L,5.4L,1.5L/CVT无级变速,前轮驱动,4门5座三厢,4450mm*1695mm*1477mm,2016年05月,河南 郑州,
菲亚特,菲翔,6.72,紧凑型,4门5座三厢,470L,2年4个月,3.74万公里,1.4L,7.2L,1.4L/双离合,前轮驱动,4门5座三厢,4679mm*1850mm*1471mm,2016年05月,河南 周口,
现代,ix25,9.93,小型SUV,5门5座两厢,431L,1年7个月,2.80万公里,1.6L,7.2L,1.6L/手自一体,前轮驱动,5门5座两厢,4270mm*1780mm*1627mm,2017年02月,河南 平顶山,
哈弗,H2,5.98,小型SUV,5门5座两厢,- -,4年,6.46万公里,1.5L,7.0L,1.5L/手动,前轮驱动,5门5座两厢,4335mm*1814mm*1695mm,2014年09月,江西 南昌,
大众,朗行,9.30,紧凑型,5门5座两厢,412L,4年1个月,7.07万公里,1.6L,6.9L,1.6L/手自一体,前轮驱动,5门5座两厢,4454mm*1765mm*1460mm,2014年08月,江西 南昌,
起亚,K2,5.00,小型,4门5座三厢,500L,6年5个月,6.06万公里,1.6L,6.5L,1.6L/自动,前轮驱动,4门5座三厢,4370mm*1700mm*1460mm,2012年04月,江西 南昌,
奥迪,Q5,24.60,中型SUV,5门5座两厢,540L,4年10个月,8.93万公里,2.0L,9.0L,2.0L/手自一体,全时四驱,5门5座两厢,4629mm*1898mm*1655mm,2013年11月,江西 南昌,
雪铁龙,爱丽舍,2.08,紧凑型,4门5座三厢,437L,7年5个月,6.94万公里,1.6L,7.8L,1.6L/手动,前轮驱动,4门5座三厢,4367mm*1708mm*1413mm,2011年04月,江西 南昌,
福特,福睿斯,7.79,紧凑型,4门5座三厢,448L,3年6个月,4.04万公里,1.5L,6.8L,1.5L/手自一体,前轮驱动,4门5座三厢,4587mm*1825mm*1490mm,2015年03月,江西 南昌,
起亚,K2,4.60,小型,4门5座三厢,- -,6年4个月,5.01万公里,1.4L,6.5L,1.4L/自动,前轮驱动,4门5座三厢,4370mm*1700mm*1460mm,2012年05月,江西 南昌,
起亚,佳乐,11.80,MPV,5门5座两厢,- -,1年9个月,2.83万公里,2.0L,8.1L,2.0L/手自一体,前轮驱动,5门5座两厢,4525mm*1805mm*1605mm,2016年12月,江西 南昌,
现代,ix35,10.80,紧凑型SUV,5门两厢,465L,4年1个月,5.64万公里,2.0L,8.2L,2.0L/手自一体,前轮驱动,5门两厢,4420mm*1820mm*1690mm,2014年08月,江西 南昌,
雪佛兰,科鲁兹,5.90,紧凑型,4门5座三厢,400L,6年2个月,4.42万公里,1.6L,7.6L,1.6L/手自一体,前轮驱动,4门5座三厢,4598mm*1797mm*1477mm,2012年07月,江西 南昌,
福特,福睿斯,7.58,紧凑型,4门5座三厢,448L,2年7个月,2.89万公里,1.5L,6.8L,1.5L/手自一体,前轮驱动,4门5座三厢,4587mm*1825mm*1490mm,2016年02月,江西 南昌,
日产,轩逸,5.30,紧凑型,4门5座三厢,504L,5年11个月,5.80万公里,1.6L,7.6L,1.6L/自动,前轮驱动,4门5座三厢,4665mm*1700mm*1505mm,2012年10月,江西 南昌,
宝马,3系(进口),12.80,中型,4门5座三厢,460L,7年6个月,7.86万公里,2.0L,8.8L,2.0L/手自一体,后轮驱动,4门5座三厢,4531mm*1817mm*1421mm,2011年03月,江西 南昌,
别克,昂科拉,10.30,小型SUV,5门5座两厢,356L,2年,1.70万公里,1.4L,7.3L,1.4L/手自一体,前轮驱动,5门5座两厢,4278mm*1781mm*1648mm,2016年09月,江西 南昌,
大众,桑塔纳,4.80,紧凑型,4门5座三厢,466L,3年11个月,3.18万公里,1.6L,6.2L,1.6L/自动,前轮驱动,4门5座三厢,4473mm*1706mm*1469mm,2014年10月,江西 南昌,
日产,天籁,13.80,中型,4门5座三厢,516L,2年10个月,2.66万公里,2.0L,7.3L,2.0L/CVT无级变速,前轮驱动,4门5座三厢,4892mm*1830mm*1490mm,2015年11月,江西 南昌,
福特,福克斯,6.56,紧凑型,5门5座两厢,356L,5年4个月,4.02万公里,1.6L,6.4L,1.6L/双离合,前轮驱动,5门5座两厢,4368mm*1823mm*1483mm,2013年05月,江西 南昌,
别克,君威,12.90,中型,4门5座三厢,442L,1年6个月,3.20万公里,1.6L,8.2L,1.6L/手自一体,前轮驱动,4门5座三厢,4843mm*1856mm*1484mm,2017年03月,陕西 延安,
本田,雅阁,16.50,中型,4门5座三厢,512L,4年,6.70万公里,3.0L,8.8L,3.0L/自动,前轮驱动,4门5座三厢,4930mm*1845mm*1470mm,2014年09月,陕西 延安,
标致,308(进口),16.90,紧凑型,2门4座三厢,226L,7年,8.60万公里,1.6L,8.8L,1.6L/自动,前轮驱动,2门4座三厢,4440mm*2039mm*1426mm,2011年09月,陕西 延安,
三菱,劲炫ASX,9.93,紧凑型SUV,5门5座两厢,384L,3年6个月,6.46万公里,2.0L,Null,2.0L/CVT无级变速,前轮驱动,5门5座两厢,4295mm*1770mm*1615mm,2015年03月,陕西 延安,
纳智捷,大7 SUV,8.30,中型SUV,5门5座两厢,- -,5年,8.00万公里,2.2L,11.3L,2.2L/手自一体,前轮驱动,5门5座两厢,4800mm*1930mm*1760mm,2013年09月,陕西 延安,
现代,ix35,8.80,紧凑型SUV,5门5座两厢,971L,5年9个月,6.00万公里,2.0L,8.4L,2.0L/手自一体,适时四驱,5门5座两厢,4420mm*1820mm*1690mm,2012年12月,陕西 延安,
大众,桑塔纳,3.20,紧凑型,4门5座三厢,400L,7年9个月,9.50万公里,1.6L,8.0L,1.6L/手动,前轮驱动,4门5座三厢,4687mm*1700mm*1450mm,2010年12月,陕西 延安,
大众,帕萨特,19.80,中型,4门5座三厢,490L,4年6个月,3.00万公里,3.0L,9.6L,3.0L/双离合,前轮驱动,4门5座三厢,4870mm*1834mm*1472mm,2014年03月,陕西 延安,
大众,帕萨特,15.60,中型,4门5座三厢,490L,11个月,2.77万公里,1.8L,6.8L,1.8L/双离合,前轮驱动,4门5座三厢,4872mm*1834mm*1484mm,2017年10月,甘肃 庆阳,
比亚迪,F3,5.48,紧凑型,4门5座三厢,- -,1年2个月,1.00万公里,1.5L,6.0L,1.5L/手动,前轮驱动,4门5座三厢,4617mm*1716mm*1480mm,2017年07月,甘肃 庆阳,
雪佛兰,科鲁兹,7.10,紧凑型,4门5座三厢,400L,4年9个月,4.64万公里,1.8L,7.8L,1.8L/手自一体,前轮驱动,4门5座三厢,4598mm*1797mm*1477mm,2013年12月,甘肃 庆阳,
比亚迪,速锐,5.70,紧凑型,- -,- -,1年1个月,1.00万公里,1.5L,Null,1.5L/- -,- -,- -,- -,2017年08月,甘肃 庆阳,
丰田,RAV4荣放,14.90,紧凑型SUV,5门5座两厢,- -,3年9个月,6.98万公里,2.0L,8.9L,2.0L/自动,前轮驱动,5门5座两厢,4630mm*1855mm*1685mm,2014年12月,甘肃 庆阳,
别克,君越,11.30,中型,4门5座三厢,510L,6年11个月,10.00万公里,2.4L,9.4L,2.4L/手自一体,前轮驱动,4门5座三厢,5000mm*1858mm*1497mm,2011年10月,甘肃 庆阳,
别克,GL8,15.60,MPV,5门7座两厢,- -,5年8个月,8.00万公里,2.4L,10.4L,2.4L/手自一体,前轮驱动,5门7座两厢,5256mm*1878mm*1800mm,2013年01月,甘肃 庆阳,
宝马,5系(进口),34.63,中大型,- -,- -,1年6个月,2.65万公里,2.0L,6.5L,2.0L/- -,- -,- -,- -,2017年03月,河南 郑州,
大众,途观,11.80,紧凑型SUV,5门5座两厢,400L,7年,7.28万公里,2.0L,9.6L,2.0L/手自一体,全时四驱,5门5座两厢,4525mm*1809mm*1685mm,2011年09月,甘肃 庆阳,
大众,朗逸,7.39,紧凑型,4门5座三厢,478L,3年2个月,10.13万公里,1.6L,Null,1.6L/手自一体,前轮驱动,4门5座三厢,4605mm*1765mm*1460mm,2015年07月,河南 郑州,
大众,迈腾,13.98,中型,4门5座三厢,565L,3年10个月,12.53万公里,2.0L,8.4L,2.0L/双离合,前轮驱动,4门5座三厢,4865mm*1820mm*1475mm,2014年11月,河南 郑州,
现代,胜达(进口),8.63,中型SUV,5门7座两厢,796L,7年,10.05万公里,2.4L,10.4L,2.4L/手自一体,前轮驱动,5门7座两厢,4660mm*1890mm*1760mm,2011年09月,河南 郑州,
大众,帕萨特,13.31,中型,4门5座三厢,490L,3年4个月,7.48万公里,1.8L,7.6L,1.8L/双离合,前轮驱动,4门5座三厢,4870mm*1834mm*1472mm,2015年05月,河南 郑州,
大众,速腾,9.89,紧凑型,4门5座三厢,510L,3年8个月,5.40万公里,1.4L,6.4L,1.4L/双离合,前轮驱动,4门5座三厢,4644mm*1778mm*1482mm,2015年01月,河南 郑州,
长安汽车,长安CS75,6.29,紧凑型SUV,5门5座两厢,590L,4年,5.43万公里,2.0L,8.5L,2.0L/手动,前轮驱动,5门5座两厢,4650mm*1850mm*1705mm,2014年09月,河南 郑州,
东南,DX3,5.96,小型SUV,5门5座两厢,- -,9个月,0.75万公里,1.5L,6.7L,1.5L/手动,前轮驱动,5门5座两厢,4354mm*1840mm*1670mm,2017年12月,河南 商丘,
宝骏,560,5.87,紧凑型SUV,5门5座两厢,460L,1年11个月,3.29万公里,1.8L,7.5L,1.8L/手动,前轮驱动,5门5座两厢,4620mm*1820mm*1750mm,2016年10月,河南 郑州,
起亚,K2,6.66,小型,4门5座三厢,- -,7个月,0.90万公里,1.4L,5.8L,1.4L/手自一体,前轮驱动,4门5座三厢,4400mm*1740mm*1460mm,2018年02月,河南 洛阳,
哈弗,H6 Coupe,8.65,紧凑型SUV,5门5座两厢,- -,2年,2.47万公里,1.5L,7.9L,1.5L/自动,前轮驱动,5门5座两厢,4549mm*1835mm*1700mm,2016年09月,河南 郑州,
东风风神,风神AX7,6.21,紧凑型SUV,5门5座两厢,565L,3年8个月,5.14万公里,2.0L,8.2L,2.0L/手动,前轮驱动,5门5座两厢,4690mm*1850mm*1727mm,2015年01月,河南 郑州,
长安汽车,长安CS35,5.29,小型SUV,5门5座两厢,- -,4年,7.85万公里,1.6L,7.2L,1.6L/手自一体,前轮驱动,5门5座两厢,4160mm*1810mm*1670mm,2014年09月,河南 郑州,
奔驰,C级,24.45,中型,4门5座三厢,- -,2年3个月,4.04万公里,1.6L,6.1L,1.6L/手自一体,后轮驱动,4门5座三厢,4783mm*1810mm*1442mm,2016年06月,河南 郑州,
大众,桑塔纳,5.72,紧凑型,4门5座三厢,466L,2年1个月,3.97万公里,1.6L,6.0L,1.6L/手动,前轮驱动,4门5座三厢,4473mm*1706mm*1469mm,2016年07月,河南 郑州,
中华,V3,5.91,小型SUV,5门5座两厢,455L,1年9个月,2.39万公里,1.5L,7.6L,1.5L/手自一体,前轮驱动,5门5座两厢,4200mm*1790mm*1600mm,2016年12月,河南 郑州,
广汽传祺,传祺GS5 Super,5.96,紧凑型SUV,两厢,480L,2年10个月,4.53万公里,2.0L,7.4L,2.0L/手动,前轮驱动,两厢,4750mm*1854mm*1690mm,2015年11月,河南 郑州,
东南,V3菱悦,4.10,紧凑型,4门5座三厢,420L,2年3个月,2.90万公里,1.5L,Null,1.5L/手动,前轮驱动,4门5座三厢,4420mm*1700mm*1415mm,2016年06月,福建 福州,
日产,天籁,13.30,中型,4门5座三厢,516L,3年3个月,5.52万公里,2.0L,7.3L,2.0L/CVT无级变速,前轮驱动,4门5座三厢,4868mm*1830mm*1490mm,2015年05月,福建 福州,
丰田,威驰,5.60,小型,4门5座三厢,475L,6年3个月,9.12万公里,1.6L,7.1L,1.6L/自动,前轮驱动,4门5座三厢,4300mm*1690mm*1490mm,2012年06月,福建 福州,
雷克萨斯,RX,23.80,中大型SUV,5门5座两厢,375L,6年8个月,9.90万公里,2.7L,9.8L,2.7L/手自一体,前轮驱动,5门5座两厢,4770mm*1885mm*1725mm,2012年01月,福建 福州,
雷克萨斯,ES,24.80,中大型,4门5座三厢,425L,5年8个月,9.98万公里,2.5L,5.4L,2.5L/CVT无级变速,前轮驱动,4门5座三厢,4900mm*1820mm*1450mm,2013年01月,福建 福州,
丰田,凯美瑞,13.60,中型,4门5座三厢,504L,4年6个月,4.36万公里,2.0L,8.4L,2.0L/手自一体,前轮驱动,4门5座三厢,4825mm*1825mm*1480mm,2014年03月,甘肃 酒泉,
丰田,凯美瑞,11.50,中型,4门5座三厢,- -,6年,9.44万公里,2.0L,8.1L,2.0L/手自一体,前轮驱动,4门5座三厢,4825mm*1825mm*1480mm,2012年09月,福建 福州,
丰田,锐志,14.98,中型,4门5座三厢,480L,0个月,9.30万公里,2.5L,9.0L,2.5L/手自一体,后轮驱动,4门5座三厢,4735mm*1795mm*1450mm,2018年09月,福建 福州,
大众,帕萨特,16.80,中型,4门5座三厢,490L,3年,3.98万公里,1.8L,7.6L,1.8L/双离合,前轮驱动,4门5座三厢,4870mm*1834mm*1472mm,2015年09月,甘肃 酒泉,
别克,GL8,12.80,MPV,5门7座两厢,680L,4年8个月,4.41万公里,2.4L,10.2L,2.4L/手自一体,前轮驱动,5门7座两厢,5213mm*1847mm*1750mm,2014年01月,福建 福州,
大众,速腾,6.90,紧凑型,4门5座三厢,527L,7年2个月,9.11万公里,1.4L,6.4L,1.4L/双离合,前轮驱动,4门5座三厢,4544mm*1760mm*1461mm,2011年07月,福建 福州,
长安汽车,奔奔MINI,1.00,微型,5门5座两厢,- -,7年11个月,8.10万公里,1.0L,5.8L,1.0L/手动,前轮驱动,5门5座两厢,3520mm*1570mm*1490mm,2010年10月,河南 安阳,
丰田,凯美瑞,14.60,中型,4门5座三厢,- -,2年10个月,8.93万公里,2.0L,7.0L,2.0L/手自一体,前轮驱动,4门5座三厢,4850mm*1825mm*1480mm,2015年11月,河南 安阳,
标致,307,3.40,紧凑型,5门5座两厢,1007L,6年3个月,3.80万公里,1.6L,7.8L,1.6L/手动,前轮驱动,5门5座两厢,4212mm*1762mm*1531mm,2012年06月,河南 安阳,
丰田,RAV4荣放,11.30,紧凑型SUV,5座两厢,1031L,6年6个月,6.04万公里,2.0L,8.9L,2.0L/自动,前轮驱动,5座两厢,4630mm*1855mm*1685mm,2012年03月,河南 安阳,
丰田,雅力士,5.30,小型,5门5座两厢,318L,5年2个月,8.18万公里,1.6L,6.7L,1.6L/自动,前轮驱动,5门5座两厢,3915mm*1695mm*1545mm,2013年07月,河南 安阳,
本田,XR-V,11.90,小型SUV,5门5座两厢,- -,3年3个月,3.39万公里,1.8L,6.6L,1.8L/CVT无级变速,前轮驱动,5门5座两厢,4270mm*1772mm*1605mm,2015年06月,河南 安阳,
奔腾,B30,4.60,紧凑型,4门5座三厢,480L,2年3个月,2.67万公里,1.6L,6.4L,1.6L/手动,前轮驱动,4门5座三厢,4625mm*1790mm*1500mm,2016年06月,河南 安阳,
长安汽车,逸动,4.40,紧凑型,4门5座三厢,510L,4年5个月,4.10万公里,1.6L,6.5L,1.6L/手动,前轮驱动,4门5座三厢,4620mm*1820mm*1490mm,2014年04月,河南 安阳,
本田,雅阁,9.80,中型,4门5座三厢,446L,6年11个月,8.30万公里,2.0L,8.5L,2.0L/自动,前轮驱动,4门5座三厢,4960mm*1845mm*1480mm,2011年10月,河南 安阳,
大众,桑塔纳,5.30,紧凑型,4门5座三厢,466L,4年9个月,5.45万公里,1.6L,6.6L,1.6L/自动,前轮驱动,4门5座三厢,4473mm*1706mm*1469mm,2013年12月,河南 安阳,
北汽幻速,幻速H3,4.50,MPV,5门7座单厢,- -,2年8个月,1.87万公里,1.5L,7.0L,1.5L/手动,后轮驱动,5门7座单厢,4660mm*1770mm*1800mm,2016年01月,河南 安阳,
本田,雅阁,14.90,中型,4门5座三厢,512L,4年3个月,4.81万公里,2.4L,7.7L,2.4L/CVT无级变速,前轮驱动,4门5座三厢,4930mm*1845mm*1470mm,2014年06月,河南 安阳,
江淮,瑞风S3,4.50,小型SUV,5门5座两厢,600L,3年8个月,3.20万公里,1.5L,6.5L,1.5L/手动,前轮驱动,5门5座两厢,4325mm*1765mm*1625mm,2015年01月,河南 安阳,
大众,途观,16.80,紧凑型SUV,5门5座两厢,400L,3年8个月,6.17万公里,1.8L,8.9L,1.8L/手自一体,全时四驱,5门5座两厢,4506mm*1809mm*1685mm,2015年01月,河南 安阳,
大众,朗逸,4.10,紧凑型,4门5座三厢,472L,7年10个月,8.58万公里,1.6L,6.9L,1.6L/手动,前轮驱动,4门5座三厢,4608mm*1743mm*1465mm,2010年11月,河南 安阳,
现代,索纳塔,9.50,中型,4门5座三厢,523L,4年1个月,4.47万公里,2.4L,7.9L,2.4L/手自一体,前轮驱动,4门5座三厢,4820mm*1835mm*1475mm,2014年08月,河南 安阳,
雪佛兰,科鲁兹,6.60,紧凑型,4门5座三厢,461L,2年7个月,3.60万公里,1.5L,6.6L,1.5L/手动,前轮驱动,4门5座三厢,4643mm*1797mm*1477mm,2016年02月,河南 安阳,
宝马,1系(进口),14.80,紧凑型,5门5座两厢,- -,4年8个月,6.17万公里,1.6L,6.3L,1.6L/手自一体,后轮驱动,5门5座两厢,4324mm*1765mm*1458mm,2014年01月,河南 安阳,
众泰,T600,7.20,中型SUV,5门5座两厢,344L,3年7个月,4.31万公里,2.0L,8.3L,2.0L/手动,前轮驱动,5门5座两厢,4631mm*1893mm*1694mm,2015年02月,甘肃 庆阳,
大众,帕萨特,11.00,中型,4门5座三厢,490L,6年4个月,7.50万公里,1.4L,Null,1.4L/手自一体,前轮驱动,4门5座三厢,4870mm*1834mm*1472mm,2012年05月,江西 南昌,
福田,风景,3.50,客车,4门6座两厢,- -,5年8个月,6.59万公里,2.0L,Null,2.0L/手动,后轮驱动,4门6座两厢,5020mm*1690mm*1935mm,2013年01月,江西 南昌,
现代,朗动,7.20,紧凑型,4门5座三厢,473L,4年2个月,6.49万公里,1.6L,6.6L,1.6L/手自一体,前轮驱动,4门5座三厢,4570mm*1775mm*1445mm,2014年07月,江西 南昌,
起亚,智跑,12.60,紧凑型SUV,5门5座两厢,- -,1年8个月,1.40万公里,2.0L,7.8L,2.0L/手自一体,前轮驱动,5门5座两厢,4450mm*1855mm*1660mm,2017年01月,江西 南昌,
奥迪,A5,26.80,中型,5门5座三厢,480L,4年6个月,7.88万公里,2.0L,6.2L,2.0L/CVT无级变速,前轮驱动,5门5座三厢,4712mm*1854mm*1391mm,2014年03月,江西 南昌,
大众,朗逸,8.30,紧凑型,4门5座三厢,478L,4年8个月,4.61万公里,1.6L,6.9L,1.6L/手自一体,前轮驱动,4门5座三厢,4605mm*1765mm*1460mm,2014年01月,江西 南昌,
福特,福克斯,6.56,紧凑型,5门5座两厢,356L,5年1个月,5.66万公里,1.6L,6.4L,1.6L/双离合,前轮驱动,5门5座两厢,4368mm*1823mm*1483mm,2013年08月,江西 南昌,
大众,POLO,5.30,小型,5门5座两厢,250L,7年2个月,7.98万公里,1.6L,6.8L,1.6L/手自一体,前轮驱动,5门5座两厢,3970mm*1682mm*1462mm,2011年07月,江西 南昌,
福特,经典全顺,6.50,客车,- -,- -,5年6个月,5.67万公里,2.8T,Null,2.8T/- -,- -,- -,- -,2013年03月,江西 南昌,
丰田,威驰,5.30,小型,4门5座三厢,475L,6年6个月,8.79万公里,1.6L,7.1L,1.6L/自动,前轮驱动,4门5座三厢,4300mm*1690mm*1490mm,2012年03月,江西 南昌,
路虎,神行者,26.80,中型SUV,5门5座两厢,755L,4年2个月,7.51万公里,2.0L,10.1L,2.0L/手自一体,全时四驱,5门5座两厢,4500mm*2005mm*1765mm,2014年07月,江西 南昌,
大众,途锐,29.80,中大型SUV,5门5座两厢,603L,5年9个月,7.82万公里,3.0L,11.2L,3.0L/手自一体,全时四驱,5门5座两厢,4795mm*1940mm*1709mm,2012年12月,江西 南昌,
福特,福克斯,8.90,紧凑型,4门5座三厢,530L,3年6个月,4.66万公里,1.6L,6.7L,1.6L/双离合,前轮驱动,4门5座三厢,4534mm*1823mm*1483mm,2015年03月,江西 南昌,
荣威,350,3.80,紧凑型,4门5座三厢,458L,6年8个月,5.26万公里,1.5L,8.3L,1.5L/自动,前轮驱动,4门5座三厢,4521mm*1788mm*1492mm,2012年01月,江西 南昌,
宝马,5系,29.80,中大型,4门5座三厢,520L,3年5个月,8.03万公里,2.0L,7.0L,2.0L/手自一体,后轮驱动,4门5座三厢,5047mm*1860mm*1491mm,2015年03月,江西 南昌,
现代,胜达,14.60,中型SUV,5门5座两厢,- -,4年7个月,4.75万公里,2.4L,9.0L,2.4L/手自一体,前轮驱动,5门5座两厢,4725mm*1880mm*1686mm,2014年02月,江西 南昌,
本田,CR-V,9.20,紧凑型SUV,5门5座两厢,524L,6年9个月,7.25万公里,2.0L,8.8L,2.0L/自动,适时四驱,5门5座两厢,4575mm*1820mm*1680mm,2011年12月,江西 南昌,
金杯,海狮,3.50,客车,6座单厢,- -,4年8个月,7.31万公里,2.0L,Null,2.0L/手动,后轮驱动,6座单厢,4880mm*1700mm*2095mm,2014年01月,江西 南昌,
别克,凯越,4.60,紧凑型,4门5座三厢,405L,5年4个月,5.19万公里,1.5L,7.6L,1.5L/手自一体,前轮驱动,4门5座三厢,4515mm*1725mm*1445mm,2013年05月,江西 南昌,
捷豹,XF,27.30,中大型,4门5座三厢,500L,3年1个月,5.91万公里,2.0L,7.9L,2.0L/手自一体,后轮驱动,4门5座三厢,4961mm*1877mm*1460mm,2015年07月,江西 南昌,
本田,锋范,4.98,紧凑型,4门5座三厢,506L,7年10个月,5.00万公里,1.5L,6.8L,1.5L/自动,前轮驱动,4门5座三厢,4400mm*1695mm*1470mm,2010年11月,江西 南昌,
本田,奥德赛,15.90,MPV,5门7座两厢,259L,4年9个月,6.13万公里,2.4L,9.2L,2.4L/自动,前轮驱动,5门7座两厢,4810mm*1802mm*1570mm,2013年12月,广东 广州,
东风风行,菱智,2.90,MPV,4门7座两厢,- -,7年6个月,4.40万公里,2.4L,Null,2.4L/手动,后轮驱动,4门7座两厢,5115mm*1720mm*1960mm,2011年03月,广东 广州,
本田,飞度,6.20,小型,5门5座两厢,- -,2年7个月,2.33万公里,1.5L,5.7L,1.5L/手动,前轮驱动,5门5座两厢,4065mm*1695mm*1525mm,2016年02月,广东 广州,
福特,福克斯,7.60,紧凑型,5门5座两厢,356L,5年6个月,7.02万公里,1.6L,6.4L,1.6L/双离合,前轮驱动,5门5座两厢,4368mm*1823mm*1483mm,2013年03月,广东 佛山,
别克,凯越,4.30,紧凑型,4门5座三厢,405L,4年9个月,4.50万公里,1.5L,7.6L,1.5L/手自一体,前轮驱动,4门5座三厢,4515mm*1725mm*1445mm,2013年12月,江苏 苏州,
日产,天籁,14.50,中型,4门5座三厢,516L,3年7个月,5.00万公里,2.0L,7.3L,2.0L/CVT无级变速,前轮驱动,4门5座三厢,4868mm*1830mm*1490mm,2015年02月,福建 厦门,
宝马,1系(进口),7.95,紧凑型,5门5座两厢,330L,7年9个月,7.75万公里,2.0L,8.6L,2.0L/手自一体,后轮驱动,5门5座两厢,4239mm*1748mm*1421mm,2010年12月,江苏 苏州,
日产,阳光,5.32,紧凑型,4门5座三厢,490L,4年6个月,4.80万公里,1.5L,5.8L,1.5L/CVT无级变速,前轮驱动,4门5座三厢,4426mm*1696mm*1517mm,2014年03月,福建 厦门,
本田,杰德,10.50,紧凑型,5门5座两厢,- -,4年8个月,8.89万公里,1.8L,6.9L,1.8L/自动,前轮驱动,5门5座两厢,4660mm*1775mm*1500mm,2014年01月,广东 佛山,
现代,ix35,8.80,紧凑型SUV,5门5座两厢,465L,7年8个月,7.82万公里,2.4L,9.1L,2.4L/手自一体,前轮驱动,5门5座两厢,4420mm*1820mm*1690mm,2011年01月,江苏 苏州,
现代,朗动,7.96,紧凑型,4门5座三厢,473L,1年10个月,2.23万公里,1.6L,6.2L,1.6L/手自一体,前轮驱动,4门5座三厢,4570mm*1775mm*1445mm,2016年11月,江苏 苏州,
斯柯达,昕锐,4.50,紧凑型,4门5座三厢,466L,4年4个月,7.58万公里,1.6L,6.0L,1.6L/手动,前轮驱动,4门5座三厢,4501mm*1706mm*1469mm,2014年05月,江苏 苏州,
雪佛兰,科鲁兹,4.80,紧凑型,5门两厢,413L,4年8个月,4.89万公里,1.6L,6.9L,1.6L/手动,前轮驱动,5门两厢,4510mm*1797mm*1477mm,2014年01月,江苏 苏州,
丰田,汉兰达,17.96,中型SUV,5门7座两厢,- -,3年11个月,3.60万公里,2.7L,9.9L,2.7L/手自一体,前轮驱动,5门7座两厢,4795mm*1910mm*1730mm,2014年10月,广东 广州,
丰田,凯美瑞,12.95,中型,4门5座三厢,- -,5年9个月,5.70万公里,2.5L,7.6L,2.5L/手自一体,前轮驱动,4门5座三厢,4825mm*1825mm*1480mm,2012年12月,江苏 苏州,
汇众,伊思坦纳,5.80,面包车,4门12座两厢半,- -,6年7个月,10.00万公里,2.3L,Null,2.3L/手动,前轮驱动,4门12座两厢半,5440mm*1855mm*2105mm,2012年02月,广东 广州,
本田,锋范,4.18,紧凑型,4门5座三厢,506L,7年2个月,7.50万公里,1.5L,6.5L,1.5L/手动,前轮驱动,4门5座三厢,4400mm*1695mm*1470mm,2011年07月,湖南 衡阳,
